participant_id,consent,trial0_elapsed_time,trial0_windex,w0_completion_time,w0_chef1,w0_chef2,history,finalScore,trial1_elapsed_time,trial1_windex,w4_completion_time,w4_chef1,w4_chef2,optimal_time,round_score,trial2_elapsed_time,trial2_windex,w7_completion_time,w7_chef1,w7_chef2,trial3_elapsed_time,trial3_windex,w8_completion_time,w8_chef1,w8_chef2,trial4_elapsed_time,trial4_windex,w3_completion_time,w3_chef1,w3_chef2,trial5_elapsed_time,trial5_windex,w9_completion_time,w9_chef1,w9_chef2,trial6_elapsed_time,trial6_windex,w2_completion_time,w2_chef1,w2_chef2,trial7_elapsed_time,trial7_windex,w6_completion_time,w6_chef1,w6_chef2,trial8_elapsed_time,trial8_windex,w10_completion_time,w10_chef1,w10_chef2,trial9_elapsed_time,trial9_windex,w1_completion_time,w1_chef1,w1_chef2,trial10_elapsed_time,trial10_windex,w5_completion_time,w5_chef1,w5_chef2,language,enjoyment,assess,age,gender_cat,education
P001,true,259.85,0,206,"[2, 4, 5, 6]","[1, 3, 7, 10, 9, 8]",6 2 7 2 8 2 2 1 10 1 9 2 1 2 3 1 4 1 5 1 5 2 4 2 4 1 4 2,67,40.475,4,222,"[3, 4, 6, 8, 9]","[1, 2, 5, 7, 10]",187,0.35561497326203206,60.868,7,200,"[1, 2, 4, 6]","[7, 5, 9, 3, 10, 8]",56.914,8,228,"[1, 2, 4, 5, 6, 10]","[9, 3, 7, 8]",41.246,3,201,"[2, 3, 5, 8]","[1, 7, 9, 4, 6, 10]",42.998,9,246,"[5, 1, 3, 6, 7]","[8, 10, 2, 4, 9]",48.755,2,250,"[6, 7, 2, 3, 5]","[1, 4, 8, 9, 10]",43.462,6,220,"[4, 6, 8, 9, 10]","[2, 1, 3, 5, 7]",48.422,10,208,"[6, 5, 2, 3, 4, 8, 10]","[1, 7, 9]",59.079,1,234,"[5, 4, 6, 10]","[2, 3, 8, 7, 9, 1]",64.389,5,214,"[2, 10, 3]","[6, 7, 8, 9, 1, 5, 4]",English,average,y,54,f,college
P002,true,247.971,0,206,"[9, 8, 6, 2]","[1, 10, 7, 3, 5, 4]",2 2 1 2 6 2 7 1 8 2 3 1 4 1 5 2 9 2 10 2,67,52.308,2,198,"[1, 4, 3, 6]","[9, 10, 7, 8, 5, 2]",187,0.35561497326203206,47.629,9,232,"[2, 1, 4, 3, 5]","[10, 8, 9, 7, 6]",74.523,7,203,"[3, 8, 10, 1, 2, 4]","[9, 5, 6, 7]",101.426,4,220,"[10, 4, 3, 5, 6]","[7, 9, 1, 2, 8]",42.502,8,213,"[1, 2, 7, 5, 8]","[6, 4, 3, 9, 10]",66.771,3,196,"[2, 3, 5, 7]","[6, 9, 8, 4, 1, 10]",50.19,10,272,"[2, 1, 3, 4]","[6, 7, 8, 10, 9, 5]",65.334,6,206,"[9, 5, 7, 2]","[1, 6, 3, 8, 10, 4]",61.306,1,234,"[10, 2, 3, 4]","[9, 5, 6, 8, 1, 7]",47.705,5,214,"[7, 3, 4]","[2, 1, 6, 8, 5, 9, 10]",English,average,y,49,m,college
P003,true,439.734,0,232,"[7, 10, 9, 4]","[6, 2, 8, 3, 1, 5]",10 2 9 2 8 2 2 1 1 1 5 1 6 1 3 1 4 2 5 2 4 1 6 2 6 1 7 2 7 1 6 2,67,41.416,7,243,"[2, 1, 3, 4, 7]","[10, 9, 8, 5, 6]",198,0.2727272727272727,39.125,6,213,"[4, 9, 7, 6, 1]","[8, 2, 3, 5, 10]",34.421,5,193,"[10, 4, 5, 6, 1]","[7, 8, 9, 3, 2]",34.361,2,201,"[5, 3, 2, 8]","[9, 1, 7, 4, 10, 6]",34.851,9,246,"[3, 2, 1, 8, 4]","[7, 9, 10, 5, 6]",34.55,1,260,"[4, 2, 1, 5, 6]","[7, 9, 10, 8, 3]",48.182,8,237,"[2, 1, 7, 3, 5]","[8, 9, 10, 6, 4]",63.408,3,217,"[3, 2, 4, 5, 1]","[10, 8, 6, 7, 9]",54.929,10,234,"[2, 3, 5, 10]","[7, 9, 1, 4, 6, 8]",116.858,4,277,"[8, 9, 10, 2, 1]","[4, 6, 5, 7, 3]",English,better,y,32,m,college
P004,true,317.761,0,206,"[8, 9, 6, 4]","[1, 3, 7, 10, 5, 2]",10 2 3 1 5 2 4 1 7 2 6 1 2 1 1 1 1 2 9 2 8 2,100,115.614,6,198,"[3, 4, 6, 2]","[10, 5, 7, 1, 9, 8]",198,0.5,92.066,2,213,"[5, 3, 7, 4, 8]","[9, 6, 1, 2, 10]",81.747,5,193,"[1, 2, 5, 7, 8]","[3, 9, 4, 6, 10]",69.973,1,220,"[10, 6, 2, 5, 4]","[1, 7, 9, 8, 3]",90.041,9,246,"[8, 1, 2, 7, 9]","[10, 5, 6, 4, 3]",65.59,3,201,"[5, 3, 2, 1]","[4, 6, 8, 9, 10, 7]",52.679,7,224,"[3, 5, 9, 8]","[10, 6, 4, 1, 7, 2]",76.335,10,208,"[8, 10, 4, 2, 3, 6, 7]","[5, 1, 9]",58.618,8,234,"[2, 3, 4, 5, 6, 8]","[1, 7, 9, 10]",87.974,4,209,"[4, 3, 9, 1]","[10, 5, 6, 2, 7, 8]",,better,y,41,f,college
P005,true,235.586,0,230,"[2, 4, 5, 6, 8]","[1, 3, 7, 10, 9]",9 2 7 2 1 2 5 1 2 1 3 1 6 2 10 2 4 1 8 1,100,47.505,6,222,"[3, 4, 6, 2, 7]","[1, 9, 10, 5, 8]",195,0.5,63.825,9,200,"[10, 1, 5, 2]","[3, 9, 6, 8, 4, 7]",49.017,5,193,"[1, 2, 5, 6, 4]","[9, 7, 8, 3, 10]",48.263,8,201,"[2, 3, 4, 5]","[1, 9, 7, 10, 6, 8]",57.01,7,288,"[5, 8, 10, 1]","[2, 6, 7, 4, 3, 9]",48.731,2,250,"[2, 3, 5, 9, 7]","[1, 6, 8, 10, 4]",35.25,3,237,"[1, 6, 5, 8, 9]","[2, 4, 3, 7, 10]",36.132,4,194,"[2, 4, 10, 8, 5, 9]","[1, 6, 7, 3]",33.708,10,195,"[5, 2, 3, 4, 8]","[9, 7, 1, 6, 10]",34.869,1,200,"[3, 4, 5, 9]","[2, 1, 6, 7, 8, 10]",english,better,y,51,m,college
P006,true,497.568,0,206,"[2, 4, 5, 6]","[10, 7, 1, 9, 8, 3]",8 1 10 1 2 1 4 1 3 1 1 2 6 2 5 2 7 1 9 2,83,51.404,8,198,"[4, 3, 6, 5]","[8, 10, 9, 1, 2, 7]",194,0.3247422680412371,50.457,1,224,"[1, 2, 4, 8]","[9, 3, 6, 5, 7, 10]",57.085,4,193,"[8, 10, 2, 4, 5]","[9, 3, 1, 6, 7]",55.18,6,220,"[2, 3, 4, 5, 6]","[9, 7, 1, 8, 10]",42.156,3,288,"[8, 5, 10, 1]","[9, 6, 4, 3, 7, 2]",35.041,5,196,"[3, 2, 5, 10]","[9, 4, 6, 8, 1, 7]",40.088,7,260,"[6, 2, 4, 1, 8]","[10, 9, 5, 3, 7]",40.171,9,228,"[8, 10, 2, 4, 3, 7]","[1, 6, 5, 9]",40.656,2,234,"[2, 3, 4, 5, 6, 10]","[9, 1, 7, 8]",34.406,10,187,"[4, 5, 10]","[8, 6, 2, 7, 1, 3, 9]",English,better,y,27,m,some-college
P007,true,274.039,0,206,"[4, 2, 5, 8]","[10, 3, 1, 7, 9, 6]",4 1 2 1 6 1 7 2 8 1 5 2 9 1 3 2 10 2 1 1,100,42.282,2,222,"[3, 4, 6, 10, 1]","[7, 8, 5, 2, 9]",208,0.5,45.603,4,219,"[4, 8, 1]","[5, 7, 6, 3, 9, 2, 10]",40.821,5,193,"[10, 5, 1, 4, 7]","[9, 3, 6, 2, 8]",46.688,8,220,"[3, 8, 2, 4, 10]","[9, 7, 1, 5, 6]",43.064,10,234,"[10, 8, 5, 3, 7, 9]","[6, 4, 2, 1]",42.383,7,196,"[2, 3, 5, 7]","[4, 6, 8, 9, 1, 10]",43.463,9,208,"[4, 2, 6, 8, 9, 1]","[7, 5, 3, 10]",44.943,1,228,"[2, 4, 3, 8, 10, 7]","[6, 5, 1, 9]",49.472,3,195,"[4, 3, 8, 5, 2]","[9, 7, 1, 6, 10]",47.599,6,187,"[3, 9, 5]","[8, 6, 7, 2, 1, 10, 4]",english,better,y,27,f,some-college
P008,true,172.192,0,206,"[9, 4, 2, 5]","[3, 7, 10, 6, 1, 8]",3 2 9 2 1 1 4 1 5 1 6 1 8 1 7 2 2 2 10 1 10 2,100,53.922,7,198,"[3, 4, 6, 1]","[8, 7, 10, 9, 5, 2]",193,0.5,56.32,1,280,"[1, 8, 2, 4, 10]","[3, 6, 9, 5, 7]",36.17,2,193,"[1, 4, 5, 6, 8]","[3, 9, 7, 2, 10]",25.808,5,201,"[2, 3, 5, 8]","[9, 7, 1, 4, 6, 10]",34.15,4,213,"[8, 5, 2, 1, 3]","[10, 4, 7, 9, 6]",41.932,6,196,"[3, 2, 5, 7]","[1, 9, 6, 8, 4, 10]",39.127,9,220,"[2, 1, 3, 5, 4]","[6, 7, 10, 8, 9]",37.842,3,217,"[8, 3, 4, 6, 1]","[2, 10, 7, 9, 5]",32.53,10,195,"[5, 2, 3, 4, 6]","[9, 1, 7, 10, 8]",30.413,8,200,"[3, 4, 5, 9]","[1, 2, 6, 8, 7, 10]",English some Japanese,average,y,,nb,college
P009,true,183.725,0,230,"[9, 8, 5, 2, 4]","[10, 7, 3, 1, 6]",7 2 10 2 9 2 3 1 4 1 6 1 8 2 5 2 2 1 1 2,100,39.616,3,198,"[3, 4, 6, 2]","[7, 10, 9, 8, 5, 1]",198,0.5,39.349,7,256,"[10, 6, 2, 4, 1]","[9, 5, 7, 3, 8]",38.427,5,228,"[4, 8, 2, 1, 5, 7]","[9, 3, 10, 6]",41.036,10,201,"[10, 8, 4, 3]","[9, 7, 1, 6, 5, 2]",50.017,9,288,"[5, 7, 8, 10]","[9, 6, 4, 2, 1, 3]",38.199,1,196,"[10, 7, 5, 2]","[4, 6, 8, 1, 9, 3]",41.261,8,220,"[10, 8, 2, 4, 1]","[5, 9, 7, 6, 3]",44.426,2,213,"[8, 2, 7, 6, 5]","[4, 10, 9, 3, 1]",38.835,6,195,"[3, 2, 4, 6, 5]","[7, 1, 9, 10, 8]",38.816,4,187,"[10, 5, 4]","[8, 6, 2, 9, 7, 3, 1]",English,better,y,48,f,college
P010,true,180.906,0,206,"[2, 4, 5, 6]","[1, 3, 7, 10, 9, 8]",6 2 5 2 7 2 3 2 9 2 4 1 8 1 10 1 2 2 1 1,75,42.965,9,198,"[4, 3, 6, 1]","[2, 5, 7, 8, 10, 9]",200,0.38,37.958,6,224,"[4, 8, 10, 1]","[6, 5, 7, 3, 9, 2]",36.435,1,193,"[2, 1, 5, 8, 10]","[3, 9, 7, 6, 4]",43.484,4,201,"[2, 3, 4, 5]","[1, 7, 9, 6, 8, 10]",41.503,10,288,"[5, 8, 10, 6]","[1, 2, 3, 4, 7, 9]",30.561,5,196,"[2, 3, 5, 7]","[1, 4, 6, 8, 9, 10]",27.634,2,280,"[1, 3, 5, 9, 10]","[2, 4, 6, 7, 8]",32.891,3,228,"[3, 2, 4, 8, 10, 7]","[6, 5, 1, 9]",37.308,8,234,"[2, 3, 4, 8]","[1, 7, 9, 5, 6, 10]",33.353,7,200,"[3, 4, 5, 9]","[1, 6, 7, 8, 2, 10]",German,better,y,32,m,some-college
