participant_id,consent,trial0_elapsed_time,trial0_windex,w0_completion_time,w0_chef1,w0_chef2,sentChefHome,finalScore,trial1_elapsed_time,trial1_windex,w1_completion_time,w1_chef1,w1_chef2,optimal_time,round_score,trial2_elapsed_time,trial2_windex,w2_completion_time,w2_chef1,w2_chef2,trial3_elapsed_time,trial3_windex,w3_completion_time,w3_chef1,w3_chef2,trial4_elapsed_time,trial4_windex,w5_completion_time,w5_chef1,w5_chef2,trial5_elapsed_time,trial5_windex,w8_completion_time,w8_chef1,w8_chef2,trial6_elapsed_time,trial6_windex,w10_completion_time,w10_chef1,w10_chef2,trial7_elapsed_time,trial7_windex,w9_completion_time,w9_chef1,w9_chef2,trial8_elapsed_time,trial8_windex,w4_completion_time,w4_chef1,w4_chef2,trial9_elapsed_time,trial9_windex,w6_completion_time,w6_chef1,w6_chef2,trial10_elapsed_time,trial10_windex,w7_completion_time,w7_chef1,w7_chef2,language,enjoyment,assess,age,gender_cat,education
P001,true,251.452,0,206,"[8, 5, 6, 2]","[1, 3, 9, 7, 4, 10]",false,86,48.349,1,195,"[4, 10, 2, 5, 8]","[9, 1, 7, 3, 6]",200,0.405,57.816,2,196,"[3, 5, 2, 10]","[4, 6, 8, 9, 1, 7]",39.087,3,201,"[10, 2, 3, 6]","[9, 7, 1, 5, 4, 8]",40.172,5,187,"[9, 5, 3]","[8, 7, 2, 4, 6, 1, 10]",47.267,8,193,"[8, 2, 1, 5, 7]","[3, 9, 10, 4, 6]",42.684,10,194,"[8, 3, 4, 2, 6, 5]","[10, 9, 1, 7]",35.512,9,213,"[9, 8, 5, 1, 4]","[10, 7, 3, 2, 6]",38.515,4,198,"[3, 4, 6, 7]","[10, 8, 5, 1, 2, 9]",44.372,6,232,"[2, 10, 5, 3]","[6, 9, 4, 7, 8, 1]",40.647,7,219,"[8, 4, 1]","[9, 7, 3, 5, 6, 2, 10]",English,average,y,38,f,high
P002,true,224.327,0,245,"[1, 7, 5, 10]","[3, 2, 4, 6, 8, 9]",false,100,41.52,3,195,"[5, 10, 8, 4, 2]","[7, 9, 1, 6, 3]",196,0.5,50.532,6,196,"[5, 7, 10, 2]","[6, 8, 9, 4, 1, 3]",51.379,4,221,"[1, 5, 8, 10, 2]","[3, 7, 9, 4, 6]",39.834,5,187,"[5, 3, 10]","[6, 8, 7, 2, 1, 4, 9]",628.687,8,193,"[10, 8, 7, 4, 1]","[3, 9, 6, 5, 2]",47.649,7,208,"[10, 3, 4, 2, 8, 6, 1]","[5, 9, 7]",352.857,1,234,"[5, 9, 6, 3]","[10, 8, 7, 4, 2, 1]",110.753,9,222,"[4, 6, 3, 9, 1]","[10, 7, 8, 2, 5]",37.618,10,220,"[4, 8, 6, 3, 9]","[2, 7, 1, 10, 5]",41.328,2,219,"[8, 10, 2]","[6, 7, 9, 5, 3, 4, 1]",English,average,y,48,m,college
P003,true,175.853,0,206,"[2, 5, 4, 8]","[1, 3, 7, 10, 6, 9]",false,91,40.935,5,208,"[2, 5, 6, 3, 9]","[4, 7, 1, 8, 10]",194,0.38144329896907214,46.187,2,196,"[2, 7, 10, 3]","[1, 5, 8, 4, 6, 9]",50.117,8,221,"[10, 5, 2, 6, 1]","[4, 3, 7, 9, 8]",51.212,7,218,"[5, 6, 8, 10]","[1, 2, 7, 3, 9, 4]",35.03,4,193,"[2, 7, 10, 4, 1]","[3, 5, 8, 6, 9]",51.435,3,217,"[6, 4, 3, 1, 2]","[5, 7, 8, 10, 9]",41.017,9,234,"[10, 5, 3, 8, 2, 9]","[4, 6, 7, 1]",34.86,1,209,"[9, 4, 6, 8]","[10, 5, 2, 7, 1, 3]",33.221,6,232,"[9, 3, 7, 4]","[10, 5, 2, 6, 8, 1]",39.637,10,232,"[9, 6, 1, 8, 10]","[3, 5, 4, 7, 2]",English,better,y,48,m,grad
P004,true,403.523,0,206,"[5, 2, 8, 6]","[3, 7, 4, 10, 1, 9]",true,80,46.157,2,195,"[10, 6, 5, 3, 2]","[9, 7, 8, 4, 1]",213,0.3732394366197183,31.457,3,196,"[3, 2, 7, 5]","[4, 6, 1, 9, 8, 10]",52.938,10,201,"[4, 6, 3, 5]","[1, 7, 9, 8, 2, 10]",52.206,7,187,"[10, 4, 5]","[6, 7, 8, 3, 1, 2, 9]",39.105,4,266,"[8, 2, 6, 5, 7, 1, 4]","[9, 10, 3]",43.239,8,217,"[8, 2, 4, 5, 7]","[9, 3, 1, 10, 6]",41.055,6,240,"[8, 10, 5, 6, 4]","[9, 3, 7, 1, 2]",44.475,5,198,"[4, 6, 3, 8]","[10, 9, 5, 7, 2, 1]",37.071,1,224,"[5, 9, 7, 1]","[4, 6, 2, 8, 10, 3]",49.925,9,219,"[8, 4, 10]","[9, 5, 7, 3, 6, 1, 2]",french and english,better,y,34,f,some-high
P005,true,149.519,0,206,"[4, 9, 5, 2]","[1, 7, 10, 3, 6, 8]",false,100,34.617,5,195,"[5, 4, 6, 3, 2]","[9, 7, 1, 8, 10]",201,0.5,34.348,7,196,"[10, 5, 3, 2]","[6, 4, 8, 9, 7, 1]",30.061,4,201,"[5, 4, 3, 2]","[9, 7, 1, 6, 8, 10]",29.034,9,187,"[5, 4, 10]","[1, 7, 6, 8, 9, 2, 3]",31.401,8,203,"[3, 5, 2, 7, 1, 10]","[9, 6, 4, 8]",27.433,2,208,"[10, 4, 3, 2, 8, 7, 1]","[5, 6, 9]",28.091,1,234,"[5, 4, 3, 9]","[10, 6, 8, 7, 2, 1]",28.265,6,198,"[3, 4, 6, 9]","[5, 7, 2, 8, 10, 1]",30.846,10,232,"[4, 7, 5, 9]","[6, 2, 8, 3, 1, 10]",25.512,3,219,"[4, 8, 10]","[5, 7, 6, 3, 9, 2, 1]",english,better,y,47,f,grad
P006,true,215.465,0,230,"[6, 4, 8, 5, 2]","[10, 7, 3, 1, 9]",true,89,46.356,6,195,"[5, 4, 8, 3, 2]","[9, 6, 7, 10, 1]",201,0.4054726368159204,39.991,10,227,"[10, 5, 7]","[3, 2, 6, 4, 9, 1, 8]",41.909,9,220,"[6, 5, 8, 2, 4]","[10, 3, 7, 9, 1]",38.698,2,209,"[10, 3, 9, 1]","[5, 4, 8, 6, 7, 2]",31.313,4,193,"[10, 4, 2, 7, 1]","[3, 8, 6, 5, 9]",36.242,8,217,"[4, 3, 2, 7, 6]","[5, 8, 10, 9, 1]",30.976,7,234,"[5, 8, 6, 10, 3, 1]","[4, 7, 9, 2]",31.329,1,198,"[4, 3, 6, 9]","[10, 5, 7, 8, 2, 1]",39.441,5,224,"[5, 9, 7, 1]","[4, 6, 2, 10, 8, 3]",33.612,3,219,"[4, 8, 2]","[6, 7, 5, 9, 3, 10, 1]",French,better,y,44,m,college
P007,true,273.692,0,206,"[4, 6, 5, 2]","[1, 3, 7, 10, 8, 9]",false,100,58.844,8,195,"[4, 8, 10, 2, 6]","[1, 7, 9, 3, 5]",198,0.5,46.211,3,196,"[5, 7, 10, 3]","[6, 8, 4, 9, 1, 2]",44.826,6,201,"[3, 6, 2, 8]","[1, 9, 7, 5, 4, 10]",36.644,10,187,"[5, 4, 9]","[6, 2, 7, 1, 8, 10, 3]",44.891,2,193,"[5, 4, 6, 2, 1]","[3, 9, 7, 8, 10]",48.002,7,208,"[4, 3, 2, 8, 9, 10, 1]","[6, 5, 7]",41.907,5,234,"[5, 8, 10, 3, 2, 1]","[4, 6, 7, 9]",41.683,9,198,"[4, 3, 6, 9]","[2, 7, 5, 8, 10, 1]",39.563,1,208,"[2, 4, 6, 8, 9, 3]","[10, 7, 5, 1]",40.164,4,219,"[4, 8, 10]","[6, 7, 5, 3, 9, 2, 1]",english,average,y,55,f,grad
P008,true,386.996,0,206,"[2, 6, 5, 9]","[10, 3, 1, 7, 8, 4]",false,100,52.255,8,234,"[4, 5, 6, 3]","[9, 7, 1, 8, 10, 2]",201,0.5,43.491,10,196,"[10, 5, 3, 7]","[4, 9, 6, 8, 1, 2]",36.614,2,201,"[4, 5, 3, 10]","[9, 1, 7, 6, 8, 2]",42.452,9,187,"[9, 3, 10]","[8, 6, 7, 2, 1, 5, 4]",38.196,5,193,"[8, 6, 2, 4, 10]","[3, 9, 5, 7, 1]",37.222,4,208,"[8, 3, 4, 2, 10, 6, 1]","[9, 7, 5]",41.279,1,234,"[8, 10, 5, 4, 2, 1]","[9, 3, 6, 7]",32.388,7,198,"[3, 4, 6, 7]","[9, 10, 5, 2, 1, 8]",34.545,6,208,"[4, 6, 2, 5, 3, 10]","[9, 7, 8, 1]",29.315,3,219,"[10, 4, 1]","[9, 3, 5, 6, 7, 8, 2]",English,better,y,26,m,high
P009,true,192.278,0,206,"[2, 4, 5, 8]","[1, 3, 6, 7, 10, 9]",false,100,43.178,6,195,"[5, 8, 2, 4, 10]","[1, 7, 9, 3, 6]",187,0.5,43.172,2,196,"[3, 2, 5, 10]","[1, 4, 6, 8, 7, 9]",44.259,1,201,"[3, 4, 5, 8]","[1, 7, 9, 2, 6, 10]",44.784,9,187,"[3, 4, 9]","[1, 2, 6, 7, 8, 5, 10]",35.522,3,193,"[6, 1, 5, 7, 10]","[3, 9, 2, 4, 8]",33.827,10,208,"[2, 3, 5, 4, 8, 10, 7]","[1, 6, 9]",36.455,4,234,"[5, 7, 8, 10, 4, 9]","[1, 2, 3, 6]",39.032,7,222,"[3, 4, 6, 8, 10]","[2, 5, 1, 7, 9]",32.872,8,208,"[4, 6, 2, 3, 7, 9]","[1, 5, 8, 10]",32.441,5,219,"[2, 1, 8]","[3, 5, 7, 6, 9, 4, 10]",Indonesian,better,y,45,f,college
P010,true,222.774,0,206,"[4, 2, 5, 6]","[10, 3, 1, 7, 9, 8]",false,75,30.906,4,195,"[10, 3, 4, 6, 8]","[7, 5, 1, 9, 2]",196,0.4744897959183674,33.092,9,201,"[5, 3, 2, 1]","[10, 4, 8, 9, 7, 6]",32.936,6,201,"[10, 3, 4, 2]","[7, 9, 1, 5, 6, 8]",26.958,8,187,"[5, 3, 4]","[10, 6, 7, 2, 1, 8, 9]",32.665,7,193,"[10, 4, 7, 2, 8]","[3, 5, 9, 6, 1]",32.703,5,208,"[10, 4, 3, 2, 8, 7, 1]","[5, 6, 9]",27.421,10,234,"[5, 6, 4, 7]","[10, 3, 2, 8, 1, 9]",27.103,3,198,"[4, 3, 6, 1]","[10, 5, 2, 7, 8, 9]",35.301,1,224,"[5, 3, 7, 8]","[10, 4, 6, 2, 1, 9]",32.117,2,232,"[10, 5, 7, 8, 1]","[4, 3, 6, 2, 9]",english,better,y,50,f,college
